unified_rank,strength_rank,platform,product_id,price,level,total_yellow,team_count,team_bonus,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
105,65,kejinshou,35854032,157.0,80,32,0,0,0.56,649.0,242.0,891.56,5.679,https://m.kejinshou.com/goods/details/35854032
106,69,pzds,MC21SN,153,73,26,0,0,0.19,681.8,180.0,861.99,5.634,https://www.pzds.com/goodsDetails/MC21SN/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
107,70,kejinshou,34756321,150.0,79,26,0,0,11.88,597.35,234.0,843.23,5.622,https://m.kejinshou.com/goods/details/34756321
108,103,pzds,MC8F5C,131,72,25,0,0,0.0,495.6,240.0,735.6,5.615,https://www.pzds.com/goodsDetails/MC8F5C/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
109,119,kejinshou,35327187,120.0,62,16,0,0,3.18,502.8,160.0,665.98,5.55,https://m.kejinshou.com/goods/details/35327187
110,72,pzds,MCGQGD,150,75,32,0,0,0.81,593.6,234.0,828.41,5.523,https://www.pzds.com/goodsDetails/MCGQGD/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
111,151,kejinshou,33398915,100.0,53,17,0,0,9.52,401.2,140.0,550.72,5.507,https://m.kejinshou.com/goods/details/33398915
112,73,kejinshou,35745137,150.0,77,30,0,0,0.67,550.6,273.0,824.27,5.495,https://m.kejinshou.com/goods/details/35745137
113,74,kejinshou,35732068,150.0,65,21,0,0,0.85,592.6,230.0,823.45,5.49,https://m.kejinshou.com/goods/details/35732068
114,153,kejinshou,34189208,100.0,67,27,0,0,0.05,352.5,190.0,542.55,5.425,https://m.kejinshou.com/goods/details/34189208
115,135,kejinshou,35916667,108.0,52,20,0,0,11.07,441.6,133.0,585.67,5.423,https://m.kejinshou.com/goods/details/35916667
116,96,kejinshou,34009013,140.0,79,33,0,0,7.27,545.8,203.0,756.07,5.401,https://m.kejinshou.com/goods/details/34009013
117,80,kejinshou,35908018,150.0,72,22,0,0,77.1,505.0,223.0,805.1,5.367,https://m.kejinshou.com/goods/details/35908018
118,82,kejinshou,33874314,150.0,60,25,1,100,112.48,393.6,199.0,805.08,5.367,https://m.kejinshou.com/goods/details/33874314
119,71,kejinshou,35816370,157.0,80,35,0,0,6.1,603.7,230.0,839.8,5.349,https://m.kejinshou.com/goods/details/35816370
120,120,kejinshou,35914503,126.0,61,18,0,0,0.28,454.0,210.0,664.27,5.272,https://m.kejinshou.com/goods/details/35914503
121,100,kejinshou,34743735,142.0,0,21,1,100,0.0,516.0,130.0,746.0,5.254,https://m.kejinshou.com/goods/details/34743735
122,230,kejinshou,29859407,50.0,45,13,0,0,0.0,192.4,70.0,262.4,5.248,https://m.kejinshou.com/goods/details/29859407
123,104,kejinshou,35338340,140.0,62,23,0,0,0.09,564.3,163.0,727.39,5.196,https://m.kejinshou.com/goods/details/35338340
124,130,kejinshou,35635011,120.0,59,16,0,0,0.49,458.7,160.0,619.19,5.16,https://m.kejinshou.com/goods/details/35635011
125,92,kejinshou,35628881,150.0,65,14,0,0,0.74,572.95,200.0,773.69,5.158,https://m.kejinshou.com/goods/details/35628881
126,93,pzds,MCANT7,150,80,30,0,0,6.62,489.6,272.0,768.22,5.121,https://www.pzds.com/goodsDetails/MCANT7/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
127,144,kejinshou,34807219,110.0,55,14,0,0,11.34,327.6,224.0,562.94,5.118,https://m.kejinshou.com/goods/details/34807219
128,124,kejinshou,35934753,126.0,62,27,0,0,3.62,439.4,200.0,643.02,5.103,https://m.kejinshou.com/goods/details/35934753
129,109,pzds,MCEQ82,138,74,30,0,0,2.04,531.9,170.0,703.94,5.101,https://www.pzds.com/goodsDetails/MCEQ82/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
130,83,pzds,MC3Q8U,158,77,32,0,0,13.42,571.4,220.0,804.82,5.094,https://www.pzds.com/goodsDetails/MC3Q8U/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
131,177,kejinshou,31380584,90.0,64,17,0,0,0.64,329.3,128.0,457.94,5.088,https://m.kejinshou.com/goods/details/31380584
132,86,kejinshou,35416733,158.0,61,21,0,0,0.0,603.6,189.0,792.6,5.016,https://m.kejinshou.com/goods/details/35416733
133,90,kejinshou,33682748,155.0,75,28,0,0,5.31,569.2,203.0,777.51,5.016,https://m.kejinshou.com/goods/details/33682748
134,180,kejinshou,33761640,90.0,68,22,0,0,1.28,389.3,60.0,450.58,5.006,https://m.kejinshou.com/goods/details/33761640
135,197,kejinshou,35391598,80.0,49,11,0,0,0.86,294.1,104.0,398.96,4.987,https://m.kejinshou.com/goods/details/35391598
136,214,kejinshou,34837849,70.0,51,11,0,0,5.92,252.6,90.0,348.52,4.979,https://m.kejinshou.com/goods/details/34837849
137,101,kejinshou,34965102,150.0,76,29,0,0,0.44,515.35,230.0,745.79,4.972,https://m.kejinshou.com/goods/details/34965102
138,91,kejinshou,35818411,157.0,75,32,0,0,0.81,560.0,214.0,774.81,4.935,https://m.kejinshou.com/goods/details/35818411
139,203,kejinshou,35015596,80.0,43,11,0,0,10.48,285.7,88.0,384.18,4.802,https://m.kejinshou.com/goods/details/35015596
140,98,pzds,MC95Y4,158,73,29,0,0,11.56,521.95,220.0,753.51,4.769,https://www.pzds.com/goodsDetails/MC95Y4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
141,106,kejinshou,35457782,150.0,66,25,0,0,0.01,604.2,110.0,714.21,4.761,https://m.kejinshou.com/goods/details/35457782
142,206,kejinshou,35714532,80.0,56,10,0,0,0.69,297.6,80.0,378.29,4.729,https://m.kejinshou.com/goods/details/35714532
143,108,kejinshou,34621464,150.0,66,22,0,0,5.6,459.25,243.0,707.85,4.719,https://m.kejinshou.com/goods/details/34621464
144,226,kejinshou,33942214,60.0,46,16,0,0,6.28,256.55,20.0,282.82,4.714,https://m.kejinshou.com/goods/details/33942214
145,111,kejinshou,34763859,150.0,64,32,0,0,7.96,449.3,243.0,700.26,4.668,https://m.kejinshou.com/goods/details/34763859
146,235,kejinshou,35852652,50.0,52,11,0,0,0.99,162.3,70.0,233.29,4.666,https://m.kejinshou.com/goods/details/35852652
147,167,kejinshou,35718066,108.0,65,15,0,0,0.0,330.6,172.0,502.6,4.654,https://m.kejinshou.com/goods/details/35718066
148,112,kejinshou,35077993,150.0,54,20,0,0,1.31,494.0,200.0,695.31,4.635,https://m.kejinshou.com/goods/details/35077993
149,138,kejinshou,35724819,125.0,60,11,0,0,2.73,445.8,130.0,578.53,4.628,https://m.kejinshou.com/goods/details/35724819
150,150,kejinshou,35604068,120.0,66,22,0,0,37.45,375.0,139.0,551.45,4.595,https://m.kejinshou.com/goods/details/35604068
151,114,kejinshou,34384632,150.0,57,17,0,0,0.81,556.6,130.0,687.41,4.583,https://m.kejinshou.com/goods/details/34384632
152,116,kejinshou,32130064,150.0,59,20,0,0,5.64,523.2,150.0,678.84,4.526,https://m.kejinshou.com/goods/details/32130064
153,126,kejinshou,34727356,140.0,0,24,0,0,0.0,503.0,130.0,633.0,4.521,https://m.kejinshou.com/goods/details/34727356
154,171,kejinshou,29055204,110.0,72,21,0,0,0.0,395.2,100.0,495.2,4.502,https://m.kejinshou.com/goods/details/29055204
155,136,kejinshou,8978449,130.0,70,20,0,0,0.0,422.6,160.0,582.6,4.482,https://m.kejinshou.com/goods/details/8978449
156,196,kejinshou,35268098,90.0,41,9,0,0,0.96,310.1,90.0,401.06,4.456,https://m.kejinshou.com/goods/details/35268098
157,199,kejinshou,35482426,90.0,67,19,0,0,8.54,307.35,80.0,395.89,4.399,https://m.kejinshou.com/goods/details/35482426
158,110,kejinshou,34989398,160.0,63,26,0,0,0.47,483.6,218.0,702.08,4.388,https://m.kejinshou.com/goods/details/34989398
159,239,kejinshou,35734904,50.0,38,5,0,0,1.09,188.0,30.0,219.09,4.382,https://m.kejinshou.com/goods/details/35734904
160,142,kejinshou,33872361,130.0,71,25,0,0,0.03,448.6,120.0,568.63,4.374,https://m.kejinshou.com/goods/details/33872361
161,200,kejinshou,35124607,90.0,31,10,0,0,0.1,362.3,30.0,392.4,4.36,https://m.kejinshou.com/goods/details/35124607
162,118,kejinshou,34541525,154.0,78,30,0,0,0.0,431.0,239.0,670.0,4.351,https://m.kejinshou.com/goods/details/34541525
163,189,kejinshou,35017467,100.0,66,15,0,0,0.96,339.6,90.0,430.56,4.306,https://m.kejinshou.com/goods/details/35017467
164,165,kejinshou,34537064,120.0,80,25,0,0,0.0,366.6,150.0,516.6,4.305,https://m.kejinshou.com/goods/details/34537064
165,122,kejinshou,35750365,150.0,61,22,0,0,0.58,470.6,173.0,644.18,4.295,https://m.kejinshou.com/goods/details/35750365
166,123,kejinshou,30306506,150.0,47,15,1,100,0.0,333.6,210.0,643.6,4.291,https://m.kejinshou.com/goods/details/30306506
167,148,kejinshou,34917108,130.0,58,17,0,0,8.84,417.6,130.0,556.44,4.28,https://m.kejinshou.com/goods/details/34917108
168,132,pzds,MC691P,145,69,23,0,0,9.68,526.6,80.0,616.28,4.25,https://www.pzds.com/goodsDetails/MC691P/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
169,192,kejinshou,30305172,99.0,56,19,0,0,0.0,230.2,190.0,420.2,4.244,https://m.kejinshou.com/goods/details/30305172
170,139,kejinshou,35817757,136.0,80,34,0,0,6.71,452.5,117.0,576.21,4.237,https://m.kejinshou.com/goods/details/35817757
171,183,kejinshou,35814988,105.0,80,22,0,0,0.8,273.0,170.0,443.8,4.227,https://m.kejinshou.com/goods/details/35814988
172,209,kejinshou,28748185,90.0,55,13,0,0,0.0,254.6,120.0,374.6,4.162,https://m.kejinshou.com/goods/details/28748185
